Portugese,English
que,what
a,The
o,The
não,no
de,in
é,It's
e,and
um,a
para,for
eu,I
uma,one
está,it is
com,with
se,if
do,of
por,per
os,you
ele,he
mas,but
em,in
bem,good
isso,this
da,gives
como,how
sim,Yes
as,at
no,at the
mais,more
na,at
meu,mine
aqui,on here
me,me
muito,very
foi,he was
ela,Is it over there
isto,this
estou,I am
fazer,do
vamos,we will
já,already
ser,to be
vai,go
à,The
minha,mine
só,only
ao,to the
tem,have
tudo,all
te,you
porque,why
há,there is
tenho,have
vou,I go
tu,you
sei,know
quando,When
agora,now
estás,these
você,you
lá,there
então,then
ter,to have
era,it was
quem,who
onde,Where
nada,anything
ou,or
coisa,thing
dizer,tell
são,are
quero,I want
estava,was
sou,I am
seu,your
pode,he can
mesmo,same
esta,it is
eles,they
nós,we
sua,your
dos,From
todos,all
nos,us
mim,me
posso,I can
bom,well
ver,to see
este,This one
casa,home
temos,we have
tens,tens
tua,your
nunca,Never
estão,they are
até,until
assim,so
teu,your
acho,think
falar,to speak
disse,he said
ainda,still
tempo,time
também,also
ir,go
pai,dad
sobre,on
vez,turn
quê,what
quer,would you like
és,is
favor,favor
depois,after
tão,So
melhor,best
mãe,mom
talvez,perhaps
olá,Hello
obrigado,thanks
noite,night
ti,you
sabes,sake
sempre,ever
deus,God
estamos,we are
alguém,somebody
dia,day
certo,right
nem,nor
alguma,some
vida,life
anos,years old
dele,his
sem,without
vais,vais
das,of
tinha,he had
estar,be
queres,want
coisas,stuff
homem,men
pessoas,people
algo,something
pelo,fur
ficar,stay
boa,Good
sabe,You know
parece,looks
claro,clear
dois,two
verdade,truth
tipo,type
preciso,necessary
antes,before
senhor,Mr
lhe,him
podes,you can
apenas,only
sr.,mr.
faz,he does
vocês,you guys
ninguém,nobody
trabalho,job
outra,other
espera,wait
saber,know
comigo,with me
vão,they go
dinheiro,cash
aí,Ouch
podemos,we can
pouco,little
essa,That
esse,this
grande,big
pois,then
pela,through the
qualquer,any
disso,from that
num,on one
qual,which
desculpa,excuse
dela,her
hoje,today
toda,all
deve,he must
mulher,women
queria,I wanted
fora,outside
filho,son
cá,here
seja,be
meus,my
nosso,our
olha,look
vá,go
daqui,hence
sério,for real
oh,Oh
nossa,Wow
certeza,assurance
diz,it says
nome,Name
às,at
outro,other
todo,all
dar,to give
tentar,try
sair,go out
têm,have
quanto,how much
pensar,think
mal,bad
volta,return
aconteceu,it happened
consigo,with you
três,three
mundo,world
menos,any less
amigo,friend
contigo,with you
embora,although
numa,in
passa,he passes
porquê,why
problema,problem
carro,car
lado,side
vezes,times
nas,in the
fez,did
seus,their
novo,new
merda,Shit
parte,part
todas,all
aos,to the
obrigada,Thanks
primeiro,first
será,it will be
lugar,place
voltar,return
pensei,I thought
algum,any
achas,you
vem,comes
dentro,inside
família,family
ali,there
razão,reason
aquele,that one
dias,days
fui,I went
anda,ride
querida,Honey
sabia,you knew
duas,two
ideia,idea
hora,hour
polícia,police
podem,they can
forma,form
entre,in between
caso,case
gosto,like
atrás,behind
homens,men
devia,should
aquilo,that one
amor,love
pessoa,people
podia,could
uns,some
desde,since
somos,are
cabeça,head
horas,hours
deles,their
fica,stay
ajudar,to help
tarde,afternoon
momento,time
tal,such
tenha,you have
pronto,ready
fiz,I did
foram,were
cidade,City
amigos,friends
encontrar,meet
frente,front
sido,has been
passar,pass
deixar,to leave
vi,saw
nenhum,none
gente,people
durante,during
seria,he would be
outros,others
entrar,log in
chegar,to arrive
nova,new
trabalhar,work
quase,almost
desculpe,excuse me
amanhã,tomorrow
tanto,so much